image_couple_name,pair,preprocessing,bin,method,tx,residuo_tx,ty,residuo_ty,theta,residuo_theta,residuo_diag
zh3_01_01,c1,gray,64,powell,-5.882717043926512,0.4749,13.644390648329335,-0.11347,-0.06191,-6e-05,0.48826543139643414
zh3_01_01,c1,gray,64,Nelder-Mead,-5.8783264507352815,0.47929,13.540803982912053,-0.21706,-0.06152,0.00033,0.5261469533927187
zh3_01_01,c1,gray,128,powell,-5.8270168985397905,0.5306,13.65832051617187,-0.09954,-0.06198,-0.00013,0.5398538601523623
zh3_01_01,c1,gray,128,Nelder-Mead,-5.911218967470166,0.4464,13.743342374101871,-0.01452,-0.06237,-0.00052,0.44663177537786114
zh3_01_01,c1,gray,256,powell,-5.862446697689927,0.49517,13.530744148015344,-0.22712,-0.06173,0.00012,0.544768794984881
zh3_01_01,c1,gray,256,Nelder-Mead,-5.890570064076794,0.46704,13.650251207657163,-0.10761,-0.06206,-0.00021,0.47928112458610883
zh3_01_01,c1,hsv_v,64,powell,-5.811905242220371,0.54571,13.657641164020504,-0.10022,-0.06186,-1e-05,0.5548357261933609
zh3_01_01,c1,hsv_v,64,Nelder-Mead,-5.895758555520171,0.46186,13.574882246303702,-0.18298,-0.0618,5e-05,0.49678166670368096
zh3_01_01,c1,hsv_v,128,powell,-5.816510834182726,0.5411,13.756801309290125,-0.00106,-0.06185,0.0,0.5411049333275851
zh3_01_01,c1,hsv_v,128,Nelder-Mead,-5.907635974038207,0.44998,13.611641072076964,-0.14622,-0.06205,-0.0002,0.4731393959735804
zh3_01_01,c1,hsv_v,256,powell,-5.811290645249329,0.54632,13.619140016264964,-0.13872,-0.06159,0.00026,0.5636605986919366
zh3_01_01,c1,hsv_v,256,Nelder-Mead,-5.794391383348499,0.56322,13.649443374101253,-0.10842,-0.06153,0.00032,0.5735631854420853
zh3_01_01,c1,pca,64,powell,-5.944612715383371,0.413,13.620450723380515,-0.13741,-0.0619,-5e-05,0.435260845610381
zh3_01_01,c1,pca,64,Nelder-Mead,-5.91771855552015,0.4399,13.635642246303718,-0.12222,-0.0618,5e-05,0.4565587047292239
zh3_01_01,c1,pca,128,powell,-5.802069634359393,0.55555,13.628641032794917,-0.12922,-0.06187,-2e-05,0.5703752482812543
zh3_01_01,c1,pca,128,Nelder-Mead,-5.788396417662971,0.56922,13.531429359190525,-0.22643,-0.06144,0.00041,0.6126013155693059
zh3_01_01,c1,pca,256,powell,-5.751161970412168,0.60645,13.634411641961975,-0.12345,-0.06183,2e-05,0.61888971128698
zh3_01_01,c1,pca,256,Nelder-Mead,-5.73859475889442,0.61902,13.519691956336573,-0.23817,-0.06119,0.00066,0.6632569592013274
zh3_01_01,c1,gray-gauss-3,64,powell,-5.772555653314702,0.58506,13.650980540356414,-0.10688,-0.06193,-8e-05,0.5947414283213569
zh3_01_01,c1,gray-gauss-3,64,Nelder-Mead,-5.923475678044005,0.43414,13.876669018959603,0.11881,-0.06279,-0.00094,0.45010251693096265
zh3_01_01,c1,gray-gauss-3,128,powell,-5.890631014135094,0.46698,13.826902619895208,0.06904,-0.06252,-0.00067,0.47206001862521607
zh3_01_01,c1,gray-gauss-3,128,Nelder-Mead,-5.898436361731578,0.45918,13.845625031447895,0.08776,-0.06266,-0.00081,0.46749059626144335
zh3_01_01,c1,gray-gauss-3,256,powell,-5.916575370441031,0.44104,13.742801803330138,-0.01506,-0.06236,-0.00051,0.4412963523243235
zh3_01_01,c1,gray-gauss-3,256,Nelder-Mead,-5.669275657076689,0.68834,13.630549825340836,-0.12731,-0.06121,0.00064,0.7000132777226921
zh3_01_01,c1,hsv_v-gauss-3,64,powell,-5.81866096549197,0.53895,13.937316048927102,0.17946,-0.06224,-0.00039,0.568045418642012
zh3_01_01,c1,hsv_v-gauss-3,64,Nelder-Mead,-5.659269334936402,0.69835,13.868807164167237,0.11095,-0.06165,0.0002,0.7071036295247517
zh3_01_01,c1,hsv_v-gauss-3,128,powell,-5.683035466601726,0.67458,13.862079505795549,0.10422,-0.0616,0.00025,0.682582499176549
zh3_01_01,c1,hsv_v-gauss-3,128,Nelder-Mead,-5.669389835288584,0.68822,13.905068058675397,0.14721,-0.06163,0.00022,0.7037923624169758
zh3_01_01,c1,hsv_v-gauss-3,256,powell,-5.621671557533112,0.73594,13.753155893641576,-0.0047,-0.06149,0.00036,0.7359582087964456
zh3_01_01,c1,hsv_v-gauss-3,256,Nelder-Mead,-5.601441082333707,0.75617,13.698678780924524,-0.05918,-0.06122,0.00063,0.7584860032054338
zh3_01_01,c1,pca-gauss-3,64,powell,-5.576950215930227,0.78066,13.736670883811456,-0.02119,-0.0612,0.00065,0.780952027447827
zh3_01_01,c1,pca-gauss-3,64,Nelder-Mead,-5.643950645249305,0.71366,13.670130016264977,-0.08773,-0.06159,0.00026,0.7190361581589296
zh3_01_01,c1,pca-gauss-3,128,powell,-5.479151679644458,0.87846,13.477811521524814,-0.28005,-0.06082,0.00103,0.9220219862324907
zh3_01_01,c1,pca-gauss-3,128,Nelder-Mead,-5.670006521290146,0.68761,13.616777930820035,-0.14108,-0.06146,0.00039,0.7019324974221616
zh3_01_01,c1,pca-gauss-3,256,powell,-5.51377954230705,0.84384,13.54724474901252,-0.21062,-0.0608,0.00105,0.8697221712298863
zh3_01_01,c1,pca-gauss-3,256,Nelder-Mead,-5.5108874473356195,0.84673,13.602776327506263,-0.15508,-0.06062,0.00123,0.8608124488885333
zh3_01_01,c1,gray-gauss-5,64,powell,-5.616916019697088,0.7407,13.88456238454097,0.1267,-0.0614,0.00045,0.7514572837814121
zh3_01_01,c1,gray-gauss-5,64,Nelder-Mead,-5.621986300067727,0.73563,13.865982779339703,0.10812,-0.06154,0.00031,0.7435319104769763
zh3_01_01,c1,gray-gauss-5,128,powell,-5.653385808002081,0.70423,13.728700540782683,-0.02916,-0.06158,0.00027,0.7048323609746879
zh3_01_01,c1,gray-gauss-5,128,Nelder-Mead,-5.5493005543545575,0.80831,13.814774801091971,0.05691,-0.06137,0.00048,0.8103154273109534
zh3_01_01,c1,gray-gauss-5,256,powell,-5.672791296500048,0.68482,13.763563834205286,0.0057,-0.06174,0.00011,0.6848471871960491
zh3_01_01,c1,gray-gauss-5,256,Nelder-Mead,-5.668708771001613,0.68891,13.77849632584838,0.02064,-0.06167,0.00018,0.6892149709374275
